13	804	1732
5	215	174.3475341796875	163.15016174316406
3	216	326.1943054199219	296.9903564453125
4	216	263.35748291015625	296.2713928222656
3	217	326.52301025390625	286.31927490234375
4	217	263.5511474609375	285.408935546875
3	218	329.56622314453125	373.7359313964844
4	218	267.63873291015625	372.6269226074219
3	219	333.9696350097656	281.5040588378906
4	219	270.9031982421875	280.47576904296875
3	220	337.5635986328125	284.22589111328125
4	220	274.5772399902344	283.0805969238281
3	221	343.2668762207031	296.8541564941406
4	221	280.4515686035156	295.6907958984375
5	221	206.49830627441406	291.63104248046875
3	222	344.798828125	279.8773193359375
4	222	281.7919006347656	278.6982421875
3	223	348.5933532714844	149.26805114746094
4	223	283.8211975097656	147.97525024414062
3	224	357.8261413574219	178.9126434326172
4	224	293.24853515625	177.7060089111328
3	225	357.3998107910156	206.1827392578125
4	225	293.46246337890625	204.9151153564453
5	225	218.4700164794922	199.005859375
3	226	357.3998107910156	206.1827392578125
4	226	293.46246337890625	204.9151153564453
3	227	359.38800048828125	287.5336608886719
4	227	296.3663635253906	286.0236511230469
3	228	359.38800048828125	287.5336608886719
4	228	296.3663635253906	286.0236511230469
3	229	365.0175476074219	124.42388916015625
4	229	299.4711608886719	123.33843994140625
3	230	366.2253112792969	331.83648681640625
4	230	303.7944030761719	329.8890380859375
3	231	381.1781921386719	164.1600799560547
4	231	316.1465759277344	163.1125030517578
3	232	385.6766357421875	332.2518005371094
4	232	323.0036315917969	329.94805908203125
3	233	394.0552673339844	161.22610473632812
4	233	328.80230712890625	160.15797424316406
3	234	394.5057373046875	153.7833251953125
4	234	329.0484619140625	152.8136749267578
3	235	396.7480163574219	166.87469482421875
4	235	331.50799560546875	165.803955078125
5	235	256.6512145996094	159.27598571777344
3	236	404.4365234375	255.5718231201172
4	236	340.4570617675781	253.5122528076172
5	236	267.2394104003906	247.7819366455078
3	237	404.4530944824219	250.245849609375
4	237	340.4759216308594	248.3163299560547
3	238	405.6673583984375	294.7928466796875
4	238	342.0428466796875	292.435791015625
3	239	409.004638671875	134.03515625
4	239	342.8114929199219	133.4901580810547
3	240	414.2582092285156	140.79962158203125
4	240	348.28546142578125	140.11741638183594
3	241	414.6097717285156	359.781005859375
4	241	352.49652099609375	355.8713684082031
3	242	428.5837097167969	224.4550018310547
4	242	363.52044677734375	222.4091796875
3	243	429.46563720703125	230.90426635742188
4	243	364.44403076171875	228.8122100830078
3	244	441.8898010253906	220.11399841308594
4	244	376.37481689453125	218.09927368164062
3	245	446.6459655761719	121.40823364257812
4	245	379.184326171875	121.25554656982422
5	245	303.6245422363281	114.94761657714844
6	245	222.0479736328125	103.35708618164062
3	246	448.98760986328125	273.5739440917969
4	246	384.03143310546875	270.5965576171875
3	247	453.2511901855469	115.8139419555664
4	247	385.1092834472656	115.96395874023438
5	247	309.58795166015625	109.646240234375
3	248	453.3092956542969	160.2958221435547
4	248	386.2758483886719	159.31375122070312
3	249	453.3092956542969	160.2958221435547
4	249	386.2758483886719	159.31375122070312
3	250	455.5351867675781	224.6820068359375
4	250	389.5260314941406	222.45419311523438
3	251	455.5351867675781	224.6820068359375
4	251	389.5260314941406	222.45419311523438
3	252	455.2149658203125	270.458984375
4	252	390.05303955078125	267.47003173828125
3	253	456.209716796875	227.25045776367188
4	253	390.2452697753906	225.0145263671875
3	254	457.9283447265625	218.39193725585938
4	254	391.817138671875	216.35353088378906
3	255	464.9485778808594	343.3467712402344
4	255	399.92742919921875	338.4183044433594
3	256	470.9755554199219	213.57298278808594
4	256	403.9451904296875	211.5669403076172
3	257	471.3963623046875	340.0354919433594
4	257	406.0808410644531	334.9748840332031
5	257	333.47900390625	327.530029296875
6	257	255.42437744140625	319.45318603515625
